140105,0351,140100,小店,x,xd,xiaodian,,区
140106,0351,140100,迎泽,y,yz,yingze,,区
140107,0351,140100,杏花岭,x,xhl,xinghualing,,区
140108,0351,140100,尖草坪,j,jcp,jiancaoping,,区
140109,0351,140100,万柏林,w,wbl,wanbolin,,区
140110,0351,140100,晋源,j,jy,jinyuan,,区
140121,0351,140100,清徐,q,qx,qingxu,,县
140122,0351,140100,阳曲,y,yq,yangqu,,县
140123,0351,140100,娄烦,l,lf,loufan,,县
140181,0351,140100,古交,g,gj,gujiao,,市
140200,0352,140000,大同,d,dt,datong,,市
140213,0352,140200,平城,p,pc,pingcheng,,区
140214,0352,140200,云冈,y,yg,yugang,,
140212,0352,140200,新荣,x,xr,xinrong,,区
140221,0352,140200,阳高,y,yg,yanggao,,县
140222,0352,140200,天镇,t,tz,tianzhen,,县
140223,0352,140200,广灵,g,gl,guangling,,县
140224,0352,140200,灵丘,l,lq,lingqiu,,县
140225,0352,140200,浑源,h,hy,hunyuan,,县
140226,0352,140200,左云,z,zy,zuoyun,,县
140215,0352,140200,云州,y,yz,yunzhou,,区
140300,0353,140000,阳泉,y,yq,yangquan,,市
140302,0353,140300,城区,c,cq,chengqu,,
140303,0353,140300,矿区,k,kq,kuangqu,,
140311,0353,140300,郊区,j,jq,jiaoqu,,
140321,0353,140300,平定,p,pd,pingding,,县
140322,0353,140300,盂县,y,yx,yuxian,,
140400,0355,140000,长治,c,cz,changzhi,,市
140403,0355,140400,潞州,l,lz,luzhou,,
140404,0355,140400,上党,s,sd,shangdang,,区
140423,0355,140400,襄垣,x,xy,xiangyuan,,县
140405,0355,140400,屯留,t,tl,tunliu,,区
140425,0355,140400,平顺,p,ps,pingshun,,县
140426,0355,140400,黎城,l,lc,licheng,,县
140427,0355,140400,壶关,h,hg,huguan,,县
140428,0355,140400,长子,z,zz,zhangzi,,县
140429,0355,140400,武乡,w,wx,wuxiang,,县
140430,0355,140400,沁县,q,qx,qinxian,,
140431,0355,140400,沁源,q,qy,qinyuan,,县
140406,0355,140400,潞城,l,lc,lucheng,,区
140500,0356,140000,晋城,j,jc,jincheng,,市
140502,0356,140500,城区,c,cq,chengqu,,
140521,0356,140500,沁水,q,qs,qinshui,,县
140522,0356,140500,阳城,y,yc,yangcheng,,县
140524,0356,140500,陵川,l,lc,lingchuan,,县
140525,0356,140500,泽州,z,zz,zezhou,,县
140581,0356,140500,高平,g,gp,gaoping,,市
140600,0349,140000,朔州,s,sz,shuozhou,,市
140602,0349,140600,朔城,s,sc,shuocheng,,区
140603,0349,140600,平鲁,p,pl,pinglu,,区
140621,0349,140600,山阴,s,sy,shanyin,,县
140622,0349,140600,应县,y,yx,yingxian,,
140623,0349,140600,右玉,y,yy,youyu,,县
140681,0349,140600,怀仁,h,hr,huairen,,市
140700,0354,140000,晋中,j,jz,jinzhong,,市
140702,0354,140700,榆次,y,yc,yuci,,区
140721,0354,140700,榆社,y,ys,yushe,,县
140722,0354,140700,左权,z,zq,zuoquan,,县
140723,0354,140700,和顺,h,hs,heshun,,县
140724,0354,140700,昔阳,x,xy,xiyang,,县
140725,0354,140700,寿阳,s,sy,shouyang,,县
140703,0354,140700,太谷,t,tg,taigu,,区
140727,0354,140700,祁县,q,qx,qixian,,
140728,0354,140700,平遥,p,py,pingyao,,县
140729,0354,140700,灵石,l,ls,lingshi,,县
140781,0354,140700,介休,j,jx,jiexiu,,市
140800,0359,140000,运城,y,yc,yuncheng,,市
140802,0359,140800,盐湖,y,yh,yanhu,,区
140821,0359,140800,临猗,l,ly,linyi,,县
140822,0359,140800,万荣,w,wr,wanrong,,县
140823,0359,140800,闻喜,w,wx,wenxi,,县
140824,0359,140800,稷山,j,js,jishan,,县
140825,0359,140800,新绛,x,xj,xinjiang,,县
140826,0359,140800,绛县,j,jx,jiangxian,,
140827,0359,140800,垣曲,y,yq,yuanqu,,县
140828,0359,140800,夏县,x,xx,xiaxian,,
140829,0359,140800,平陆,p,pl,pinglu,,县
140830,0359,140800,芮城,r,rc,ruicheng,,县
140881,0359,140800,永济,y,yj,yongji,,市
140882,0359,140800,河津,h,hj,hejin,,市
140900,0350,140000,忻州,x,xz,xinzhou,,市
140902,0350,140900,忻府,x,xf,xinfu,,区
140921,0350,140900,定襄,d,dx,dingxiang,,县
140922,0350,140900,五台,w,wt,wutai,,县
140923,0350,140900,代县,d,dx,daixian,,
140924,0350,140900,繁峙,f,fz,fanzhi,,县
140925,0350,140900,宁武,n,nw,ningwu,,县
140926,0350,140900,静乐,j,jl,jingle,,县
140927,0350,140900,神池,s,sc,shenchi,,县
140928,0350,140900,五寨,w,wz,wuzhai,,县
140929,0350,140900,岢岚,k,kl,kelan,,县
140930,0350,140900,河曲,h,hq,hequ,,县
140931,0350,140900,保德,b,bd,baode,,县
140932,0350,140900,偏关,p,pg,pianguan,,县
140981,0350,140900,原平,y,yp,yuanping,,市
141000,0357,140000,临汾,l,lf,linfen,,市
141002,0357,141000,尧都,y,yd,yaodu,,区
141021,0357,141000,曲沃,q,qw,quwo,,县
141022,0357,141000,翼城,y,yc,yicheng,,县
141023,0357,141000,襄汾,x,xf,xiangfen,,县
141024,0357,141000,洪洞,h,hd,hongdong,,县
141025,0357,141000,古县,g,gx,guxian,,
141026,0357,141000,安泽,a,az,anze,,县
141027,0357,141000,浮山,f,fs,fushan,,县
141028,0357,141000,吉县,j,jx,jixian,,
141029,0357,141000,乡宁,x,xn,xiangning,,县
141030,0357,141000,大宁,d,dn,daning,,县
141031,0357,141000,隰县,x,xx,xixian,,
141032,0357,141000,永和,y,yh,yonghe,,县
141033,0357,141000,蒲县,p,px,puxian,,
141034,0357,141000,汾西,f,fx,fenxi,,县
141081,0357,141000,侯马,h,hm,houma,,市
141082,0357,141000,霍州,h,hz,huozhou,,市
141100,0358,140000,吕梁,l,ll,lvliang,,市
141102,0358,141100,离石,l,ls,lishi,,区
141121,0358,141100,文水,w,ws,wenshui,,县
141122,0358,141100,交城,j,jc,jiaocheng,,县
141123,0358,141100,兴县,x,xx,xingxian,,
141124,0358,141100,临县,l,lx,linxian,,
141125,0358,141100,柳林,l,ll,liulin,,县
141126,0358,141100,石楼,s,sl,shilou,,县
141127,0358,141100,岚县,l,lx,lanxian,,
141128,0358,141100,方山,f,fs,fangshan,,县
141129,0358,141100,中阳,z,zy,zhongyang,,县
141130,0358,141100,交口,j,jk,jiaokou,,县
141181,0358,141100,孝义,x,xy,xiaoyi,,市
141182,0358,141100,汾阳,f,fy,fenyang,,市
150000,,0,内蒙古,n,nmg,neimenggu,,自治区
150100,0471,150000,呼和浩特,h,hhht,huhehaote,,市
150102,0471,150100,新城,x,xc,xincheng,,区
150103,0471,150100,回民,h,hm,huimin,,区
150104,0471,150100,玉泉,y,yq,yuquan,,区
150105,0471,150100,赛罕,s,sh,saihan,,区
150121,0471,150100,土默特左,t,tmtz,tumotezuo,,旗
150122,0471,150100,托克托,t,tkt,tuoketuo,,县
150123,0471,150100,和林格尔,h,hlge,helingeer,,县
150124,0471,150100,清水河,q,qsh,qingshuihe,,县
150125,0471,150100,武川,w,wc,wuchuan,,县
150200,0472,150000,包头,b,bt,baotou,,市
150202,0472,150200,东河,d,dh,donghe,,区
150203,0472,150200,昆都仑,k,kdl,kundulun,,区
150204,0472,150200,青山,q,qs,qingshan,,区
150205,0472,150200,石拐,s,sg,shiguai,,区
150206,0472,150200,白云,b,by,baiyun,矿,区
150207,0472,150200,九原,j,jy,jiuyuan,,区
150221,0472,150200,土默特右,t,tmty,tumoteyou,,旗
150222,0472,150200,固阳,g,gy,guyang,,县
150223,0472,150200,达尔罕茂明安,d,dehmma,daerhanmaomingan,联合,旗
150300,0473,150000,乌海,w,wh,wuhai,,市
150302,0473,150300,海勃湾,h,hbw,haibowan,,区
150303,0473,150300,海南,h,hn,hainan,,区
150304,0473,150300,乌达,w,wd,wuda,,区
150400,0476,150000,赤峰,c,cf,chifeng,,市
150402,0476,150400,红山,h,hs,hongshan,,区
150403,0476,150400,元宝山,y,ybs,yuanbaoshan,,区
150404,0476,150400,松山,s,ss,songshan,,区
150421,0476,150400,阿鲁科尔沁,a,alkeq,alukeerqin,,旗
150422,0476,150400,巴林左,b,blz,balinzuo,,旗
150423,0476,150400,巴林右,b,bly,balinyou,,旗
150424,0476,150400,林西,l,lx,linxi,,县
150425,0476,150400,克什克腾,k,kskt,keshenketeng,,旗
150426,0476,150400,翁牛特,w,wnt,wengniute,,旗
150428,0476,150400,喀喇沁,k,klq,kalaqin,,旗
150429,0476,150400,宁城,n,nc,ningcheng,,县
150430,0476,150400,敖汉,a,ah,aohan,,旗
150500,0475,150000,通辽,t,tl,tongliao,,市
150502,0475,150500,科尔沁,k,keq,keerqin,,区
150521,0475,150500,科尔沁左翼中,k,keqzyz,keerqinzuoyizhong,,旗
150522,0475,150500,科尔沁左翼后,k,keqzyh,keerqinzuoyihou,,旗
150523,0475,150500,开鲁,k,kl,kailu,,县
150524,0475,150500,库伦,k,kl,kulun,,旗
150525,0475,150500,奈曼,n,nm,naiman,,旗
150526,0475,150500,扎鲁特,z,zlt,zhalute,,旗
150581,0475,150500,霍林郭勒,h,hlgl,huolinguole,,市
150600,0477,150000,鄂尔多斯,e,eeds,eerduosi,,市
150602,0477,150600,东胜,d,ds,dongsheng,,区
150621,0477,150600,达拉特,d,dlt,dalate,,旗
150622,0477,150600,准格尔,z,zge,zhungeer,,旗
150623,0477,150600,鄂托克前,e,etkq,etuokeqian,,旗
150624,0477,150600,鄂托克,e,etk,etuoke,,旗
150625,0477,150600,杭锦,h,hj,hangjin,,旗
150626,0477,150600,乌审,w,ws,wushen,,旗
150627,0477,150600,伊金霍洛,y,yjhl,yijinhuoluo,,旗
